epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.48733,2.11166,4.41127,2.10305,0.00383,0.27778,0.07669,0.01633,1.59552,4.46598,1.58388,0,0,0
2,2.81299,1.87164,4.38096,1.9752,0.00392,0.27778,0.07707,0.01644,1.59274,4.4583,1.5766,1.20875e-05,1.20875e-05,1.20875e-05
3,4.40635,2.20327,4.52455,2.13069,0.0041,0.27778,0.08104,0.00964,1.65718,4.45514,1.61619,2.335e-05,2.335e-05,2.335e-05
4,5.71172,2.13709,4.37697,2.1282,0.00515,0.33333,0.0822,0.01026,1.61277,4.47532,1.57312,3.37875e-05,3.37875e-05,3.37875e-05
5,7.12635,2.0294,4.56649,2.1164,0.00529,0.33333,0.01921,0.00438,1.57279,4.45318,1.53987,4.34e-05,4.34e-05,4.34e-05
6,8.62666,2.34135,4.34235,2.23624,0.00548,0.33333,0.08414,0.01186,1.64896,4.45932,1.55724,5.21875e-05,5.21875e-05,5.21875e-05
7,9.93811,2.33352,4.22613,2.39534,0.0057,0.33333,0.08923,0.01544,1.66558,4.51413,1.55229,6.015e-05,6.015e-05,6.015e-05
8,11.2416,1.8205,3.99716,1.90544,0.00619,0.33333,0.04325,0.01523,1.63046,4.49494,1.49674,6.72875e-05,6.72875e-05,6.72875e-05
9,12.5642,1.71505,4.56471,1.68481,0.0066,0.33333,0.06186,0.02179,1.54592,4.39976,1.45064,7.36e-05,7.36e-05,7.36e-05
10,13.8567,2.08765,4.23474,1.89148,0.00722,0.33333,0.10065,0.03829,1.55283,4.27084,1.45849,7.90875e-05,7.90875e-05,7.90875e-05
11,15.3463,1.70062,3.82345,1.87777,0.00629,0.27778,0.07099,0.03969,1.43082,4.28053,1.3919,8.375e-05,8.375e-05,8.375e-05
12,16.7859,1.4677,3.73695,1.57876,0.00664,0.27778,0.08741,0.05071,1.4418,4.26285,1.40909,8.75875e-05,8.75875e-05,8.75875e-05
13,18.0507,1.68913,3.93254,1.67989,0.00709,0.27778,0.09489,0.06598,1.46546,4.24008,1.42667,9.06e-05,9.06e-05,9.06e-05
14,19.4693,2.09133,4.4845,1.96916,0.00751,0.27778,0.12628,0.09261,1.3779,4.18138,1.36956,9.27875e-05,9.27875e-05,9.27875e-05
15,20.7669,1.75102,4.3808,1.43453,0.00943,0.33333,0.11659,0.08144,1.32046,4.15646,1.31018,9.415e-05,9.415e-05,9.415e-05
16,22.0672,1.22112,3.5892,1.44092,0.00838,0.27778,0.12159,0.08893,1.3028,4.10643,1.27039,9.46875e-05,9.46875e-05,9.46875e-05
17,23.3349,1.97013,4.00041,1.6578,0.01093,0.33333,0.12642,0.08939,1.24037,4.08023,1.22102,9.44e-05,9.44e-05,9.44e-05
18,24.7401,1.68861,3.4715,1.53916,0.01093,0.33333,0.12642,0.08939,1.24037,4.08023,1.22102,9.32875e-05,9.32875e-05,9.32875e-05
19,26.1112,1.77681,3.87044,1.43646,0.01093,0.33333,0.17062,0.12655,1.21756,4.02861,1.20254,9.135e-05,9.135e-05,9.135e-05
20,27.357,1.38433,3.68128,1.43701,0.01093,0.33333,0.17062,0.12655,1.21756,4.02861,1.20254,8.85875e-05,8.85875e-05,8.85875e-05
21,28.687,1.41452,4.05497,1.37875,0.01093,0.33333,0.1445,0.10792,1.21595,3.97306,1.17917,8.5e-05,8.5e-05,8.5e-05
22,29.9826,1.46967,4.2845,1.34879,0.01093,0.33333,0.1445,0.10792,1.21595,3.97306,1.17917,8.05875e-05,8.05875e-05,8.05875e-05
23,31.3504,1.20717,3.36887,1.17259,0.01136,0.33333,0.16159,0.11357,1.16226,3.91673,1.14386,7.535e-05,7.535e-05,7.535e-05
24,32.6141,1.2111,3.27218,1.2458,0.01136,0.33333,0.16159,0.11357,1.16226,3.91673,1.14386,6.92875e-05,6.92875e-05,6.92875e-05
25,33.9216,1.17185,3.27941,1.3154,0.0117,0.33333,0.16305,0.11961,1.11705,3.85912,1.11501,6.24e-05,6.24e-05,6.24e-05
26,35.198,1.16534,3.17244,1.16312,0.0117,0.33333,0.16305,0.11961,1.11705,3.85912,1.11501,5.46875e-05,5.46875e-05,5.46875e-05
27,36.4743,1.18348,3.39568,1.24209,0.0122,0.33333,0.16606,0.12119,1.06701,3.79712,1.0959,4.615e-05,4.615e-05,4.615e-05
28,37.6863,1.48182,3.48561,1.29098,0.0122,0.33333,0.16606,0.12119,1.06701,3.79712,1.0959,3.67875e-05,3.67875e-05,3.67875e-05
29,38.8994,1.28788,3.482,1.31992,0.0122,0.33333,0.16648,0.12663,1.03003,3.78166,1.08047,2.66e-05,2.66e-05,2.66e-05
30,40.095,1.12153,3.34777,1.15211,0.0122,0.33333,0.16648,0.12663,1.03003,3.78166,1.08047,1.55875e-05,1.55875e-05,1.55875e-05
